,City,lat,lon,temp,temp_max,humidity,cloudiness,wind_speed,country
340,Ludhiana,30.9,75.85,67.46,67.46,55.0,8.0,5.46,IN
341,Äänekoski,62.69,25.82,41.0,41.0,35.0,95.0,17.22,FI
342,Norrtälje,59.76,18.7,44.22,48.99,35.0,94.0,19.46,SE
343,Vao,-22.67,167.48,74.97,74.97,79.0,78.0,24.07,NC
344,Bayan,46.08,127.4,39.0,39.0,26.0,0.0,11.68,CN
345,Babati,-4.22,35.75,69.91,69.91,57.0,98.0,2.04,TZ
347,Hobyo,5.35,48.53,84.51,84.51,67.0,86.0,14.63,SO
348,Malibu,34.01,-118.81,45.57,51.8,81.0,20.0,5.82,US
349,Berlevåg,70.86,29.09,28.49,28.49,86.0,100.0,29.97,NO
350,Abu Samrah,35.3,37.18,58.51,58.51,55.0,4.0,23.6,SY
351,Yeppoon,-23.13,150.73,73.4,73.4,83.0,75.0,6.93,AU
352,Demba,-5.51,22.27,88.68,88.68,38.0,47.0,2.37,CD
353,Tilichiki,60.47,166.1,16.65,16.65,96.0,87.0,10.4,RU
354,Shimoda,34.67,138.95,50.79,60.8,87.0,75.0,5.82,JP
355,Omsukchan,62.53,155.8,9.79,9.79,87.0,100.0,7.23,RU
356,Baruun-Urt,46.68,113.28,34.45,34.45,38.0,0.0,17.13,MN
357,Sémbé,1.65,14.58,96.04,96.04,30.0,34.0,3.71,CG
358,Vardø,70.37,31.11,24.8,24.8,85.0,75.0,38.03,NO
359,Takoradze,4.88,-1.76,85.51,85.51,71.0,44.0,9.86,GH
360,Kismayo,-0.36,42.55,85.8,85.8,68.0,48.0,11.12,SO
362,San Patricio,19.22,-104.7,80.01,80.01,38.0,9.0,2.46,MX
363,Suffolk,40.87,-72.8,48.79,52.0,37.0,1.0,6.93,US
364,Lehigh Acres,26.63,-81.62,74.16,77.0,83.0,1.0,6.93,US
365,Huangzhai,38.08,112.66,48.2,48.2,45.0,100.0,2.24,CN
366,Hilton Head,32.22,-80.75,69.71,72.0,94.0,1.0,6.93,US
367,Padang,-0.95,100.35,80.08,80.08,77.0,100.0,3.78,ID
368,Acapulco de Juárez,16.86,-99.89,73.4,73.4,94.0,5.0,4.7,MX
369,Sept-Îles,50.2,-66.38,26.6,26.6,45.0,20.0,9.17,CA
370,Sambava,-14.27,50.17,76.84,76.84,89.0,100.0,4.7,MG
372,Sørland,67.67,12.69,28.4,28.4,58.0,75.0,27.51,NO
373,Havre-St-Pierre,50.23,-63.6,26.6,26.6,58.0,1.0,13.87,CA
376,Tsimmerbude,54.67,20.13,57.2,57.2,33.0,0.0,8.95,RU
377,Pellérd,46.03,18.15,62.4,62.6,39.0,3.0,4.7,HU
378,Rocky Mountain House,52.37,-114.92,16.88,16.88,86.0,100.0,6.02,CA
379,Juneau,58.3,-134.42,26.6,26.6,73.0,90.0,3.36,US
380,Ballina,-28.87,153.57,63.28,64.99,93.0,40.0,3.69,AU
381,Broken Hill,-31.95,141.43,71.6,71.6,46.0,77.0,6.93,AU
